WKT,id,title,type,description,location,accessibility,opening_hours,toilet_image
POINT (-6.2544821 53.34109840000001),15,National Library of Ireland,Public Toilet,National library,Dublin,Wheelchair accessible,Mon-Wed Fri-Sat: 9:30am-7:45pm Thu: 9:30am-8:30pm Sun: 1pm-4:45pm,toilet_image.png
POINT (-6.259930999999999 53.3424295),16,Brown Thomas Dublin,Public Toilet,Luxury department store,Dublin,Wheelchair accessible,Mon-Wed Fri-Sat: 9:30am-7pm Thu: 9:30am-9pm Sun: 11am-7pm,toilet_image.png
POINT (-6.2525147 53.3409266),17,National Gallery of Ireland,Public Toilet,Art museum,Dublin,Wheelchair accessible,Mon-Sat: 9:30am-5:30pm Thu: 9:30am-8:30pm Sun: 12pm-5:30pm,toilet_image.png
POINT (-6.2631308 53.3491377),18,Arnotts,Public Toilet,Department store,Dublin,Wheelchair accessible,Mon-Wed Fri-Sat: 9am-7pm Thu: 9am-9pm Sun: 11am-7pm,toilet_image.png
POINT (-6.269881499999999 53.3716172),19,BOTANIC GARDENS PUBLIC TOILET,Public Toilet,Public toilet,Glasnevin, Not Wheelchair accessible,Mon-Sun: 8am-8pm,toilet_image.png
POINT (-6.247821999999999 53.3489288),20,Toilet,Public Toilet,Small public restroom,Dublin,Wheelchair accessible,Mon-Sun: 7am-10pm,toilet_image.png
POINT (-6.2608368 53.3399192),21,Stephen's Green Public Bathroom,Public Toilet,Public bathroom in city center,Dublin,Not wheelchair accessible,Mon-Sat: 8am-6pm,toilet_image.png
POINT (-6.2670203 53.3481323),22,Public Toilets,Public Toilet,Public restrooms in the park,Dublin,Wheelchair accessible,Mon-Sun: 6am-11pm,toilet_image.png
POINT (-6.2910824 53.3195543),23,Public Bathroom in Supervalu Sundrive Complex,Public Toilet,Restroom inside Supervalu store,Dublin,Wheelchair accessible,Mon-Sun: 8am-9pm,toilet_image.png
POINT (-6.206917 53.3253384),24,Public Toilet,Public Toilet,Basic public restroom,Dublin,Not wheelchair accessible,Mon-Sun: 7am-8pm,toilet_image.png
POINT (-6.300048 53.34291700000001),25,Irish Museum of Modern Art,Public Toilet,Modern art museum showcasing contemporary works,Dublin,Wheelchair accessible,Tue-Sun: 10am-5:30pm,toilet_image.png
POINT (-6.1703068 53.3551023),26,Public Toilet,Public Toilet,Public restroom near the train station,Dublin,Wheelchair accessible,Mon-Sun: 6am-10pm,toilet_image.png
POINT (-6.175860600000001 53.36947199999999),27,Public Toilets,Public Toilet,Multiple public restrooms in shopping area,Dublin,Not wheelchair accessible,Mon-Sun: 9am-7pm,toilet_image.png
POINT (-6.063485199999999 53.38851409999999),28,Public Toilet,Public Toilet,Small public restroom by the beach,Dublin,Wheelchair accessible,Mon-Sun: 8am-8pm,toilet_image.png
POINT (-6.2667983 53.3440455),29,Barnardo Square,Public Toilet,Open square in the city center,Dublin,Wheelchair accessible,Open 24/7,toilet_image.png
POINT (-6.271165 53.3402425),30,St. Patrick’s Park,Public Toilet,Beautiful park with greenery and benches,Dublin,Not wheelchair accessible,Open 24/7,toilet_image.png
POINT (-6.2533478 53.33988480000001),31,National Museum of Ireland - Natural History,Public Toilet,Museum featuring natural history exhibits,Dublin,Wheelchair accessible,"Tue-Sat: 10am-5pm, Sun: 2pm-5pm",toilet_image.png
POINT (-6.3046333 53.35211109999999),32,Phoenix Park Tea Rooms,Public Toilet,Tea rooms located within Phoenix Park,Dublin,Wheelchair accessible,Mon-Sun: 9am-6pm,toilet_image.png
POINT (-6.331011600000001 53.3659382),33,Phoenix Café,Public Toilet,Café offering snacks and drinks,Dublin,Not wheelchair accessible,Mon-Sun: 7am-8pm,toilet_image.png
POINT (-6.2996048 53.3604932),34,Tesco Superstore,Public Toilet,Large retail store offering groceries and household items,Dublin,Wheelchair accessible,Mon-Sun: 7am-11pm,toilet_image.png
POINT (-6.2140198 53.31904529999999),35,Tesco Superstore,Public Toilet,Convenient supermarket for everyday needs,Dublin,Wheelchair accessible,Mon-Sun: 8am-10pm,toilet_image.png
POINT (-6.213863000000001 53.31855669999999),36,Merrion Shopping Centre,Public Toilet,Shopping mall with various shops and eateries,Dublin,Not wheelchair accessible,Mon-Sun: 9am-7pm,toilet_image.png
POINT (-6.2464185 53.39221999999999),37,Omni Shopping Centre,Public Toilet,Large shopping center with a variety of stores,Dublin,Wheelchair accessible,Mon-Sun: 10am-9pm,toilet_image.png
POINT (-6.267480000000001 53.28951139999999),38,Tesco Superstore,Public Toilet,Large retail store offering groceries and household items,Dublin,Wheelchair accessible,Mon-Sun: 7am-10pm,toilet_image.png
POINT (-6.2442945 53.2887254),39,Dundrum Shopping Centre,Public Toilet,Large shopping mall with various stores,Dublin,Wheelchair accessible,Mon-Sun: 9am-9pm,toilet_image.png
POINT (-6.737235500000001 52.80054200000001),40,Tesco Superstore,Public Toilet,Large retail store offering groceries and household items,Galway,Wheelchair accessible,Mon-Sun: 8am-9pm,toilet_image.png
POINT (-6.8061325 53.17300729999999),41,Tesco Superstore,Public Toilet,Large retail store offering groceries and household items,Limerick,Not wheelchair accessible,Mon-Sun: 8am-8pm,toilet_image.png
POINT (-6.9172997 53.1570129),42,Tesco Superstore,Public Toilet,Large retail store offering groceries and household items,Limerick,Wheelchair accessible,Mon-Sun: 7am-11pm,toilet_image.png
POINT (-7.296900099999999 53.03147629999999),43,Tesco Extra,Public Toilet,Large retail store offering groceries and household items,Waterford,Wheelchair accessible,Mon-Sun: 8am-10pm,toilet_image.png
POINT (-6.3900563 53.3937292),44,Blanchardstown Centre Toilets,Public Toilet,Public restrooms in Blanchardstown Centre,Dublin,Not wheelchair accessible,Mon-Sun: 8am-8pm,toilet_image.png
POINT (-7.244461999999999 52.6552401),45,MacDonagh Junction Shopping Centre,Public Toilet,Shopping center with various retail outlets,Kilkenny,Wheelchair accessible,Mon-Sun: 9am-6pm,toilet_image.png
POINT (-7.253693900000001 52.6528721),46,Market Cross Shopping Centre,Public Toilet,Shopping center with a mix of shops,Kilkenny,Wheelchair accessible,Mon-Sun: 10am-7pm,toilet_image.png
POINT (-7.241927399999998 52.6413295),47,Loughboy Shopping Centre,Public Toilet,Shopping center with various stores,Kilkenny,Not wheelchair accessible,Mon-Sun: 9am-8pm,toilet_image.png
POINT (-7.109728700000001 52.2601293),48,City Square Shopping Centre,Public Toilet,Shopping center with a variety of shops,Waterford,Wheelchair accessible,Mon-Sun: 9am-7pm,toilet_image.png
POINT (-8.4749346 51.89762229999999),49,The English Market,Public Toilet,Historic market offering fresh produce,Cork,Not wheelchair accessible,Tue-Sat: 8am-6pm,toilet_image.png
POINT (-8.4700869 51.899881),50,Merchants Quay Shopping Centre,Public Toilet,Shopping center with a variety of shops,Cork,Wheelchair accessible,Mon-Sun: 9am-9pm,toilet_image.png
POINT (-8.4760715 51.899475),51,Public toilet,Public Toilet,Public restroom,Cork,Wheelchair accessible,Open 24/7,toilet_image.png
POINT (-8.466862999999998 51.8995869),52,Cork Bus Station(Stáisiún Bus Chorcaí),Public Toilet,Main bus station in Cork,Cork,Wheelchair accessible,Open 24/7,toilet_image.png
POINT (-8.396493999999999 51.8854221),53,Public Toilets Mahon Point,Public Toilet,Public restrooms in Mahon Point Shopping Centre,Cork,Not wheelchair accessible,Mon-Sun: 7am-8pm,toilet_image.png
POINT (-8.3954574 51.8865367),54,Restrooms W/C Tiolets,Public Toilet,Public restrooms near Mahon Point,Cork,Not wheelchair accessible,Mon-Sun: 8am-10pm,toilet_image.png
POINT (-8.4307427 51.8786792),55,Douglas Court Shopping Centre - Toilets,Public Toilet,Public restrooms in Douglas Court Shopping Centre,Cork,Wheelchair accessible,Mon-Sun: 9am-7pm,toilet_image.png
POINT (-7.873958199999999 51.9229555),56,Public Toilets,Public Toilet,Public restrooms in the city center,Galway,Wheelchair accessible,Mon-Sun: 8am-8pm,toilet_image.png
POINT (-9.5830218 51.8811882),57,Public toilets,Public Toilet,Public restrooms in the city center,Killarney,Not wheelchair accessible,Mon-Sun: 9am-6pm,toilet_image.png
POINT (-9.9009039 51.8388467),58,Public Toilet,Public Toilet,Public restroom near the park,Kenmare,Wheelchair accessible,Mon-Sun: 7am-9pm,toilet_image.png
POINT (-8.6750629 52.6765681),59,Public Toilet,Public Toilet,Public restroom in the town center,Westport,Wheelchair accessible,Mon-Sun: 8am-10pm,toilet_image.png
POINT (-8.6291721 52.6631592),60,Public toilet,Public Toilet,Small public restroom near the market,Westport,Not wheelchair accessible,Mon-Sun: 6am-8pm,toilet_image.png
POINT (-8.4478183 52.80913080000001),61,Public toilets,Public Toilet,Public restrooms,Galway,Wheelchair accessible,Mon-Sun: 8am-8pm,toilet_image.png
POINT (-8.5188722 52.5213143),62,Public toilet,Public Toilet,Small public restroom,Galway,Not wheelchair accessible,Mon-Sun: 7am-9pm,toilet_image.png
POINT (-9.0169715 53.2700772),63,Public toilets,Public Toilet,Public restrooms,Galway,Wheelchair accessible,Mon-Sun: 9am-6pm,toilet_image.png
POINT (-9.050406900000004 53.2727439),64,Public toilet,Public Toilet,Small public restroom,Galway,Not wheelchair accessible,Mon-Sun: 8am-7pm,toilet_image.png
POINT (-9.092875000000001 53.2571518),65,Public Toilets,Public Toilet,Public restrooms,Galway,Wheelchair accessible,Mon-Sun: 7am-10pm,toilet_image.png
POINT (-9.056569600000003 53.2752723),66,public toilets,Public Toilet,Public restrooms,Galway,Not wheelchair accessible,Mon-Sun: 8am-8pm,toilet_image.png
POINT (-9.0461361 53.28372969999999),67,public toilet,Public Toilet,Small public restroom,Galway,Wheelchair accessible,Mon-Sun: 7am-9pm,toilet_image.png
POINT (-8.8197269 53.06693139999999),68,Public toilets,Public Toilet,Public restrooms,Galway,Wheelchair accessible,Mon-Sun: 8am-10pm,toilet_image.png
POINT (-8.962626000000002 53.24979399999999),69,Public toilets,Public Toilet,Public restrooms,Galway,Not wheelchair accessible,Mon-Sun: 7am-8pm,toilet_image.png
POINT (-7.7015907 52.3519807),70,Public toilets,Public Toilet,Public restrooms,Galway,Wheelchair accessible,Mon-Sun: 9am-7pm,toilet_image.png
POINT (-7.4253497 52.2060064),71,Public Toilet,Public Toilet,Small public restroom,Galway,Not wheelchair accessible,Mon-Sun: 8am-8pm,toilet_image.png
POINT (-7.5375296 52.0993842),72,Public Toilets,Public Toilet,Public restrooms,Galway,Wheelchair accessible,Mon-Sun: 7am-9pm,toilet_image.png
POINT (-7.566000300000001 52.05049440000001),73,Public Toilets,Public Toilet,Public restrooms,Galway,Not wheelchair accessible,Mon-Sun: 9am-6pm,toilet_image.png
POINT (-6.994895 52.1548892),74,Dunmore East public toilets,Public Toilet,Public restrooms,Galway,Wheelchair accessible,Mon-Sun: 8am-10pm,toilet_image.png
POINT (-8.277386800000002 54.48183439999999),75,Beach Public Toilets,Public Toilet,Public restrooms,Galway,Wheelchair accessible,Mon-Sun: 7am-8pm,toilet_image.png
POINT (-8.2804186 54.4781384),76,Public Toilet,Public Toilet,Small public restroom,Galway,Not wheelchair accessible,Mon-Sun: 9am-7pm,toilet_image.png
POINT (-8.268016599999997 54.49035279999999),77,Public Toilet Tullan,Public Toilet,Small public restroom,Galway,Wheelchair accessible,Mon-Sun: 8am-8pm,toilet_image.png
POINT (-8.0378385 54.0494127),78,Public WC,Public Toilet,Public restroom,Galway,Not wheelchair accessible,Mon-Sun: 8am-6pm,toilet_image.png
POINT (-7.9195976 53.83209180000001),79,Rooskey Public Toilets,Public Toilet,Public restrooms,Galway,Wheelchair accessible,Mon-Sun: 8am-9pm,toilet_image.png
POINT (-6.397797 54.0002637),80,Marshes Shopping Centre .,Public Toilet,Large shopping center,Galway,Wheelchair accessible,Mon-Sun: 9am-10pm,toilet_image.png
POINT (-6.1848072 54.040204),81,Public toilet,Public Toilet,Small public restroom,Galway,Not wheelchair accessible,Mon-Sun: 7am-8pm,toilet_image.png
POINT (-6.719404 53.9775995),82,Public Toilets,Public Toilet,Public restrooms,Galway,Wheelchair accessible,Mon-Sun: 8am-9pm,toilet_image.png
POINT (-6.1866145 54.0427966),83,Public Toilet,Public Toilet,Small public restroom,Galway,Not wheelchair accessible,Mon-Sun: 7am-8pm,toilet_image.png
POINT (-6.236846700000001 53.98564349999999),84,Toilet,Public Toilet,Small public restroom,Galway,Wheelchair accessible,Mon-Sun: 7am-9pm,toilet_image.png
POINT (-8.0624849 53.5918764),85,Portrunny Public Toilets,Public Toilet,Public restrooms,Galway,Wheelchair accessible,Mon-Sun: 8am-8pm,toilet_image.png
POINT (-8.051701 53.5461207),86,Lecarrow Public Toilets,Public Toilet,Public restrooms,Galway,Not wheelchair accessible,Mon-Sun: 9am-7pm,toilet_image.png
POINT (-8.188204499999998 53.6315627),87,Tesco Superstore,Public Toilet,Large retail store,Galway,Wheelchair accessible,Mon-Sun: 8am-10pm,toilet_image.png
POINT (-8.476657899999998 54.27131360000001),88,Tesco Superstore,Public Toilet,Large retail store,Galway,Not wheelchair accessible,Mon-Sun: 9am-9pm,toilet_image.png
POINT (-7.339999999999998 53.52805559999999),89,Harbour Place Shopping Centre,Public Toilet,Shopping center,Galway,Wheelchair accessible,Mon-Sun: 9am-8pm,toilet_image.png
POINT (-8.6446637 52.6397812),90,Crescent Shopping Centre Toilets,Public Toilet,Public restrooms,Galway,Not wheelchair accessible,Mon-Sun: 8am-7pm,toilet_image.png
POINT (-6.3985087 54.0045669),91,Roden Place Dundalk,Public Toilet,Public restrooms,Galway,Wheelchair accessible,Mon-Sun: 8am-8pm,toilet_image.png
POINT (-6.113229 53.2573568),92,Toilets,Public Toilet,Public restrooms,Galway,Not wheelchair accessible,Mon-Sun: 7am-7pm,toilet_image.png
POINT (-6.180093800000001 53.2511137),93,Carrickmines Park,Public Toilet,Public restrooms in the park,Galway,Wheelchair accessible,Mon-Sun: 7am-10pm,toilet_image.png
POINT (-6.3895013 53.3539371),94,Liffey Valley Shopping Centre Toilets,Public Toilet,Public restrooms in the shopping center,Galway,Wheelchair accessible,Mon-Sun: 8am-9pm,toilet_image.png
POINT (-6.201424199999999 53.2898395),95,1st Floor Toilets,Public Toilet,Public restrooms on the first floor,Galway,Not wheelchair accessible,Mon-Sun: 9am-8pm,toilet_image.png
POINT (-6.1151207 53.287218),96,Sandycove Public Toilets,Public Toilet,Public restrooms near Sandycove beach,Galway,Wheelchair accessible,Mon-Sun: 8am-8pm,toilet_image.png
POINT (-7.455605100000001 55.1378201),97,Kavanagh's SuperValu Buncrana,Public Toilet,Supermarket,Buncrana,Wheelchair accessible,Mon-Sun: 8am-10pm,toilet_image.png
POINT (-6.310510300000001 53.7014933),98,Southgate Shopping Centre,Public Toilet,Shopping Centre,Dublin,Wheelchair accessible,Mon-Sun: 9am-8pm,toilet_image.png
POINT (-7.5319188 55.0951929),99,Rathmullan Beach Public Toilets,Public Toilet,Public restrooms at the beach,Rathmullan,Not wheelchair accessible,Mon-Sun: 8am-6pm,toilet_image.png
POINT (-8.1079745 54.6533826),100,Public Bathroom,Public Toilet,Public restroom,Galway,Not wheelchair accessible,Mon-Sun: 7am-7pm,toilet_image.png
POINT (-6.7910844 53.5548754),101,Trim Visitor Centre Toilets,Public Toilet,Public restrooms at the visitor center,Trim Castle Co.Meath,Wheelchair accessible,Mon-Sun: 9am-6pm,toilet_image.png
POINT (-6.136610200000001 53.44866990000001),102,Public Toilets,Public Toilet,Public restrooms,Dublin,Wheelchair accessible,Mon-Sun: 8am-8pm,toilet_image.png
POINT (-6.1514776 53.4510445),103,Malahide Public Toilets,Public Toilet,Public restrooms in Malahide,Malahide,Not wheelchair accessible,Mon-Sun: 9am-7pm,toilet_image.png
POINT (-6.3452794 53.7140762),104,Scotch Hall Shopping Centre Toilets,Public Toilet,Public restrooms in Scotch Hall Shopping Centre,Dublin,Wheelchair accessible,Mon-Sun: 10am-6pm,toilet_image.png
POINT (-6.181314100000001 53.61100580000001),105,Public Toilets,Public Toilet,Public restrooms,Dublin,Wheelchair accessible,Mon-Sun: 8am-8pm,toilet_image.png
POINT (-6.104936400000001 53.5828694),106,Public Toilet,Public Toilet,Public restroom,Dublin,Not wheelchair accessible,Mon-Sun: 7am-9pm,toilet_image.png
POINT (-6.105150299999999 53.57909439999999),107,South Beach Public Toilets,Public Toilet,Public restrooms at South Beach,Dublin,Wheelchair accessible,Mon-Sun: 8am-8pm,toilet_image.png
POINT (-6.0823961 53.5225617),108,Public Toilet - Seasonal,Public Toilet,Seasonal public restroom,Dublin,Not wheelchair accessible,Seasonal,toilet_image.png
POINT (-6.168888099999999 53.486728),109,Public bathroom,Public Toilet,Public restroom,Dublin,Wheelchair accessible,Mon-Sun: 8am-6pm,toilet_image.png
POINT (-6.1236398 53.4340644),110,Public Toilet,Public Toilet,Public restroom,Dublin,Wheelchair accessible,Mon-Sun: 7am-8pm,toilet_image.png
POINT (-7.480764099999999 52.8664675),111,Circle K Manor Stone,Public Toilet,Gas station with restroom,Manor Stone,Not wheelchair accessible,Mon-Sun: 6am-10pm,toilet_image.png
POINT (-6.589653800000001 52.1726063),112,Public Toilets,Public Toilet,Public restrooms,Dublin,Wheelchair accessible,Mon-Sun: 9am-7pm,toilet_image.png
POINT (-6.7203347 52.21661880000001),113,Public Toilets,Public Toilet,Public restrooms,Dublin,Wheelchair accessible,Mon-Sun: 8am-8pm,toilet_image.png
POINT (-6.732372499999999 52.2403797),114,Public Toilet,Public Toilet,Public restroom,Dublin,Not wheelchair accessible,Mon-Sun: 7am-6pm,toilet_image.png
POINT (-6.931268999999999 52.2198716),115,Duncannon Beach,Public Toilet,Beach area with restroom,Duncannon,Wheelchair accessible,Mon-Sun: 9am-7pm,toilet_image.png
POINT (-7.137999100000001 52.15956380000001),116,Public Toilets,Public Toilet,Public restrooms,Dublin,Wheelchair accessible,Mon-Sun: 8am-8pm,toilet_image.png
POINT (-7.1483173 52.1601495),117,Public Toilets,Public Toilet,Public restrooms,Dublin,Not wheelchair accessible,Mon-Sun: 9am-6pm,toilet_image.png
POINT (-9.1116903 51.72164160000001),118,Dunmanway Public Toilets,Public Toilet,Public restrooms in Dunmanway,Dunmanway,Wheelchair accessible,Mon-Sun: 8am-8pm,toilet_image.png
POINT (-6.5692736 52.5030117),119,Dunnes Stores,Public Toilet,Retail store,Dublin,Wheelchair accessible,Mon-Sun: 9am-9pm,toilet_image.png
POINT (-6.969737899999999 54.2475713),120,Public Toilet,Public Toilet,Public restroom,Dublin,Not wheelchair accessible,Mon-Sun: 8am-6pm,toilet_image.png
POINT (-7.36243 53.990915),121,Cavan Town Hall Public Toilet,Public Toilet,Public restrooms at Cavan Town Hall,Cavan,Wheelchair accessible,Mon-Sun: 9am-8pm,toilet_image.png
POINT (-8.4715825 51.91436),122,Blackpool Shopping Centre Toilets,Public Toilet,Shopping Centre restrooms,Blackpool,Wheelchair accessible,Mon-Sun: 8am-10pm,toilet_image.png
POINT (-6.125466699999999 53.4432438),123,Robswalls Playground,Public Toilet,Public restrooms at Robswalls Playground,Dublin,Wheelchair accessible,Mon-Sun: 8am-8pm,toilet_image.png
POINT (-9.5448847 51.5253355),124,Schull Harbour Public Toilets,Public Toilet,Public restrooms at Schull Harbour,Schull,Not wheelchair accessible,Mon-Sun: 8am-7pm,toilet_image.png
POINT (-6.3236782 53.3662466),125,Hole in the Wall,Public Toilet,Public restroom,Dublin,Wheelchair accessible,Mon-Sun: 7am-9pm,toilet_image.png
POINT (-8.5532355 52.6666959),126,Castletroy Shopping Centre Toilets,Public Toilet,Shopping Centre restrooms,Limerick,Wheelchair accessible,Mon-Sun: 8am-8pm,toilet_image.png
POINT (-7.259705499999998 55.252411),127,Canny & Doherty's SuperValu Carndonagh,Public Toilet,Supermarket restrooms,Carndonagh,Wheelchair accessible,Mon-Sun: 9am-7pm,toilet_image.png
POINT (-8.987756899999997 53.2904747),128,Dunnes Stores - Briarhill,Public Toilet,Retail store restrooms,Galway,Wheelchair accessible,Mon-Sun: 9am-9pm,toilet_image.png
POINT (-9.1532514 54.1172212),129,Lidl,Public Toilet,Supermarket restrooms,Galway,Not wheelchair accessible,Mon-Sun: 8am-8pm,toilet_image.png
POINT (-9.705576700000002 52.2674482),130,Public Toilets,Public Toilet,Public restrooms,Unknown,Wheelchair accessible,Mon-Sun: 8am-8pm,toilet_image.png
POINT (-6.348619999999999 53.716023),131,Laurence Shopping Centre,Public Toilet,Shopping Centre restrooms,Dublin,Wheelchair accessible,Mon-Sun: 9am-9pm,toilet_image.png
POINT (-6.4602429 52.3380236),132,Public Toilet,Public Toilet,Public restroom,Dublin,Not wheelchair accessible,Mon-Sun: 8am-8pm,toilet_image.png
POINT (-6.4654643 52.3431505),133,Redmond Road Public Toilet,Public Toilet,Public restroom,Dublin,Not wheelchair accessible,Mon-Sun: 8am-6pm,toilet_image.png
POINT (-8.473284 51.89986200000001),134,Crawford Art Gallery,Public Toilet,Art gallery with restroom,Cork,Not wheelchair accessible,Tue-Sun: 10am-5pm,toilet_image.png
POINT (-8.4747401 51.8997381),135,Tesco Superstore,Public Toilet,Supermarket restrooms,Cork,Wheelchair accessible,Mon-Sun: 8am-10pm,toilet_image.png
POINT (-7.359033 53.990363),136,Cavan Town Public Toilets,Public Toilet,Public restrooms,Cavan,Wheelchair accessible,Mon-Sun: 8am-8pm,toilet_image.png
POINT (-7.925823699999998 52.37444169999999),137,Cahir Public Toilets,Public Toilet,Public restrooms,Cahir,Wheelchair accessible,Mon-Sun: 9am-7pm,toilet_image.png
POINT (-8.2959246 51.8025312),138,Crosshaven Public Toilets,Public Toilet,Public restrooms,Crosshaven,Wheelchair accessible,Mon-Sun: 8am-8pm,toilet_image.png
POINT (-6.0609931 53.1449601),139,Public Toilet,Public Toilet,Public restroom,Dublin,Not wheelchair accessible,Mon-Sun: 7am-9pm,toilet_image.png
POINT (-6.2644572 53.3227003),140,Swan Shopping Centre,Public Toilet,Shopping Centre restrooms,Dublin,Wheelchair accessible,Mon-Sun: 9am-8pm,toilet_image.png
POINT (-9.521263717495378 53.79880255472055),141,Public Toilet Mill St Car Park,Public Toilet,Public restrooms,Unknown,Not wheelchair accessible,Mon-Sun: 8am-8pm,toilet_image.png
POINT (-9.303348 53.85569160000001),142,Tesco Superstore,Public Toilet,Supermarket restrooms,Unknown,Wheelchair accessible,Mon-Sun: 8am-10pm,toilet_image.png
POINT (-6.9238764 52.83377460000001),143,Fairgreen Shopping Centre,Public Toilet,Shopping Centre restrooms,Unknown,Wheelchair accessible,Mon-Sun: 9am-9pm,toilet_image.png
POINT (-6.162853 53.445163),144,Malahide Castle Public Toilets,Public Toilet,Public restrooms,Malahide,Wheelchair accessible,Mon-Sun: 9am-6pm,toilet_image.png
POINT (-6.891484399999999 53.9978759),145,Circle K,Public Toilet,Gas station with restroom,Unknown,Not wheelchair accessible,Mon-Sun: 6am-10pm,toilet_image.png
POINT (-9.168028 51.937987),146,Public Toilet,Public Toilet,Public restroom,Unknown,Wheelchair accessible,Mon-Sun: 8am-8pm,toilet_image.png
POINT (-6.363149 53.723748),147,Circle K,Public Toilet,Gas station with restroom,Unknown,Wheelchair accessible,Mon-Sun: 6am-10pm,toilet_image.png
POINT (-6.373295000000001 53.70192300000001),148,Tesco Extra,Public Toilet,Supermarket restrooms,Unknown,Wheelchair accessible,Mon-Sun: 8am-10pm,toilet_image.png
POINT (-8.1998442 52.8653672),149,Public Toilet Nenagh,Public Toilet,Public restroom,Nenagh,Wheelchair accessible,Mon-Sun: 8am-8pm,toilet_image.png
POINT (-6.452871600000001 53.34801030000001),150,SuperValu Lucan,Public Toilet,Supermarket restrooms,Lucan,Not wheelchair accessible,Mon-Sun: 9am-9pm,toilet_image.png
POINT (-6.396244 53.3241005),151,The Mill Centre,Public Toilet,Shopping Centre restrooms,Unknown,Wheelchair accessible,Mon-Sun: 9am-9pm,toilet_image.png
POINT (-6.486955699999998 52.32296749999999),152,Min Ryan Park,Public Toilet,Park with restroom,Unknown,Not wheelchair accessible,Mon-Sun: 8am-8pm,toilet_image.png
POINT (-6.2289309 53.4440497),153,Texaco,Public Toilet,Gas station with restroom,Unknown,Wheelchair accessible,Mon-Sun: 6am-10pm,toilet_image.png
POINT (-6.0903361 53.0442117),154,Coynes Cross Service Station,Public Toilet,Gas station with restroom,Unknown,Not wheelchair accessible,Mon-Sun: 6am-10pm,toilet_image.png
POINT (-6.0633352787827315 52.87788484538195),155,Brittas Bay South Car Park Toilets,Public Toilet,Public restrooms,Brittas Bay,Wheelchair accessible,Mon-Sun: 8am-8pm,toilet_image.png
POINT (-6.158576972281125 52.79723123856041),156,St Mary's & Peter's Church Toilets,Public Toilet,Public restrooms,Unknown,Not wheelchair accessible,Mon-Sun: 9am-6pm,toilet_image.png
POINT (-6.202793432185457 52.750440060076365),157,Gorey Services,Public Toilet,Gas station with restroom,Unknown,Wheelchair accessible,Mon-Sun: 6am-10pm,toilet_image.png
POINT (-6.144135358081124 52.79951487111124),158,Arklow Leisure Centre Toilets,Public Toilet,Public restrooms,Arklow,Wheelchair accessible,Mon-Sun: 9am-9pm,toilet_image.png
POINT (-6.146652229032367 52.79949730531537),159,Bridgewater Shopping Center Toilets,Public Toilet,Shopping Centre restrooms,Arklow,Not wheelchair accessible,Mon-Sun: 8am-8pm,toilet_image.png
